,conf,currYr,label,source,value,year,unit,doc_companieshouseregisterednumber
15,96.0,0.0,Creditors amounts falling due,Creditors amounts falling due 16 18711 27022,27022,2015.0,£000,./example_data_PDF/01369166.pdf
16,96.0,1.0,Net current assets,Net current assets 52149 53027,52149,2016.0,£000,./example_data_PDF/01369166.pdf
17,76.0,0.0,Net current assets,Net current assets 52149 53027,53027,2015.0,£000,./example_data_PDF/01369166.pdf
18,95.0,1.0,Total assets less current,Total assets less current 66483 67208,66483,2016.0,£000,./example_data_PDF/01369166.pdf
19,96.0,0.0,Total assets less current,Total assets less current 66483 67208,67208,2015.0,£000,./example_data_PDF/01369166.pdf
20,96.0,1.0,Creditors amounts falling due after,Creditors amounts falling due after 70 102,70,2016.0,£000,./example_data_PDF/01369166.pdf
21,96.0,0.0,Creditors amounts falling due after,Creditors amounts falling due after 70 102,102,2015.0,£000,./example_data_PDF/01369166.pdf
22,95.0,1.0,Net assets,Net assets 66413 67106,66413,2016.0,£000,./example_data_PDF/01369166.pdf
23,96.0,0.0,Net assets,Net assets 66413 67106,67106,2015.0,£000,./example_data_PDF/01369166.pdf
24,97.0,1.0,Called up share capital,Called up share capital 20 42 42,42,2016.0,£000,./example_data_PDF/01369166.pdf
25,97.0,0.0,Called up share capital,Called up share capital 20 42 42,42,2015.0,£000,./example_data_PDF/01369166.pdf
26,80.0,1.0,Share premium account,Share premium account 20 732 132,732,2016.0,£000,./example_data_PDF/01369166.pdf
27,95.0,0.0,Share premium account,Share premium account 20 732 132,132,2015.0,£000,./example_data_PDF/01369166.pdf
28,78.0,1.0,Other reserves,Other reserves 20 1 1,1,2016.0,£000,./example_data_PDF/01369166.pdf
29,96.0,0.0,Other reserves,Other reserves 20 1 1,1,2015.0,£000,./example_data_PDF/01369166.pdf
30,96.0,1.0,Retained earnings,Retained earnings 65638 66331,65638,2016.0,£000,./example_data_PDF/01369166.pdf
31,96.0,0.0,Retained earnings,Retained earnings 65638 66331,66331,2015.0,£000,./example_data_PDF/01369166.pdf
32,96.0,1.0,Total equity,Total equity 66413 67106,66413,2016.0,£000,./example_data_PDF/01369166.pdf
33,96.0,0.0,Total equity,Total equity 66413 67106,67106,2015.0,£000,./example_data_PDF/01369166.pdf
0,96.0,1.0,WADWORTH and Company Limited Notes,WADWORTH and Company Limited Notes 2016 2015,2016,2016.0,£000,./example_data_PDF/00030177.pdf
1,96.0,0.0,WADWORTH and Company Limited Notes,WADWORTH and Company Limited Notes 2016 2015,2015,2015.0,£000,./example_data_PDF/00030177.pdf
2,96.0,1.0,Tangible assets,Tangible assets 9 132363 125709,132363,2016.0,£000,./example_data_PDF/00030177.pdf
3,96.0,0.0,Tangible assets,Tangible assets 9 132363 125709,125709,2015.0,£000,./example_data_PDF/00030177.pdf
4,38.0,1.0,Stocks,Stocks  0 1994 2039,1994,2016.0,£000,./example_data_PDF/00030177.pdf
5,57.0,0.0,Stocks,Stocks  0 1994 2039,2039,2015.0,£000,./example_data_PDF/00030177.pdf
6,56.0,1.0,Debtors oD,Debtors oD 4232   4519,4232,2016.0,£000,./example_data_PDF/00030177.pdf
7,48.0,0.0,Debtors oD,Debtors oD 4232   4519,4519,2015.0,£000,./example_data_PDF/00030177.pdf
8,61.0,1.0,Loans and unquoted investments ro,Loans and unquoted investments ro 136 164,136,2016.0,£000,./example_data_PDF/00030177.pdf
9,86.0,0.0,Loans and unquoted investments ro,Loans and unquoted investments ro 136 164,164,2015.0,£000,./example_data_PDF/00030177.pdf
10,92.0,1.0,Cash at bank and in hand,Cash at bank and in hand  539 1611,539,2016.0,£000,./example_data_PDF/00030177.pdf
11,92.0,0.0,Cash at bank and in hand,Cash at bank and in hand  539 1611,1611,2015.0,£000,./example_data_PDF/00030177.pdf
12,77.0,1.0,CREDITORS AMOUNTS FALLING DUE, 6901 8333 CREDITORS AMOUNTS FALLING DUE 13 11342  8006,11342,2016.0,£000,./example_data_PDF/00030177.pdf
13,65.0,0.0,CREDITORS AMOUNTS FALLING DUE, 6901 8333 CREDITORS AMOUNTS FALLING DUE 13 11342  8006,8006,2015.0,£000,./example_data_PDF/00030177.pdf
14,96.0,1.0,NET CURRENT ASSETSLIABILITIES,NET CURRENT ASSETSLIABILITIES 4441 327,4441,2016.0,£000,./example_data_PDF/00030177.pdf
15,96.0,0.0,NET CURRENT ASSETSLIABILITIES,NET CURRENT ASSETSLIABILITIES 4441 327,327,2015.0,£000,./example_data_PDF/00030177.pdf
16,92.0,1.0,TOTAL ASSETS LESS CURRENT LIABILITIES,TOTAL ASSETS LESS CURRENT LIABILITIES 127963 126119,127963,2016.0,£000,./example_data_PDF/00030177.pdf
17,96.0,0.0,TOTAL ASSETS LESS CURRENT LIABILITIES,TOTAL ASSETS LESS CURRENT LIABILITIES 127963 126119,126119,2015.0,£000,./example_data_PDF/00030177.pdf
18,96.0,1.0,CREDITORS AMOUNTS FALLING DUE,CREDITORS AMOUNTS FALLING DUE 14 40727 39969,40727,2016.0,£000,./example_data_PDF/00030177.pdf
19,63.0,0.0,CREDITORS AMOUNTS FALLING DUE,CREDITORS AMOUNTS FALLING DUE 14 40727 39969,39969,2015.0,£000,./example_data_PDF/00030177.pdf
20,82.0,1.0,PROVISION FOR LIABILITIES AND CHARGES,PROVISION FOR LIABILITIES AND CHARGES 15 2382 3020,2382,2016.0,£000,./example_data_PDF/00030177.pdf
21,52.0,0.0,PROVISION FOR LIABILITIES AND CHARGES,PROVISION FOR LIABILITIES AND CHARGES 15 2382 3020,3020,2015.0,£000,./example_data_PDF/00030177.pdf
22,89.0,1.0,PENSION LIABILITY,PENSION LIABILITY 18  6560  4182,6560,2016.0,£000,./example_data_PDF/00030177.pdf
23,94.0,0.0,PENSION LIABILITY,PENSION LIABILITY 18  6560  4182,4182,2015.0,£000,./example_data_PDF/00030177.pdf
24,92.0,1.0,NET ASSETS,NET ASSETS  78293  78948,78293,2016.0,£000,./example_data_PDF/00030177.pdf
25,90.0,0.0,NET ASSETS,NET ASSETS  78293  78948,78948,2015.0,£000,./example_data_PDF/00030177.pdf
26,91.0,1.0,Share capital,Share capital 16 7594 7594,7594,2016.0,£000,./example_data_PDF/00030177.pdf
27,39.0,0.0,Share capital,Share capital 16 7594 7594,7594,2015.0,£000,./example_data_PDF/00030177.pdf
28,96.0,1.0,Profit and Loss Account,Profit and Loss Account 70699 71354,70699,2016.0,£000,./example_data_PDF/00030177.pdf
29,94.0,0.0,Profit and Loss Account,Profit and Loss Account 70699 71354,71354,2015.0,£000,./example_data_PDF/00030177.pdf
30,96.0,1.0,.,. 78293 78948,78293,2016.0,£000,./example_data_PDF/00030177.pdf
31,93.0,0.0,.,. 78293 78948,78948,2015.0,£000,./example_data_PDF/00030177.pdf
0,95.0,1.0,Fair value of scheme assets,Fair value of scheme assets 18087 16360,18087,2016.0,£000,./example_data_PDF/00030177.pdf
1,96.0,0.0,Fair value of scheme assets,Fair value of scheme assets 18087 16360,16360,2015.0,£000,./example_data_PDF/00030177.pdf
2,96.0,1.0,None Present value of defined benefit obligation,None Present value of defined benefit obligation 24648 20542,24648,2016.0,£000,./example_data_PDF/00030177.pdf
3,96.0,0.0,None Present value of defined benefit obligation,None Present value of defined benefit obligation 24648 20542,20542,2015.0,£000,./example_data_PDF/00030177.pdf
4,29.0,1.0,Changes in the fair value of scheme assets   Fairvalue of schemeassetsatstartofperiod    SOCSSsCCOSstCSsCSSBOSYSCi SSB Interest incomeonschemeassets,Changes in the fair value of scheme assets 7000 000 Fairvalue of schemeassetsatstartofperiod    SOCSSsCCOSstCSsCSSBOSYSCi SSB Interest incomeonschemeassets  588  629,588,2016.0,£000,./example_data_PDF/00030177.pdf
5,72.0,0.0,Changes in the fair value of scheme assets   Fairvalue of schemeassetsatstartofperiod    SOCSSsCCOSstCSsCSSBOSYSCi SSB Interest incomeonschemeassets,Changes in the fair value of scheme assets 7000 000 Fairvalue of schemeassetsatstartofperiod    SOCSSsCCOSstCSsCSSBOSYSCi SSB Interest incomeonschemeassets  588  629,629,2015.0,£000,./example_data_PDF/00030177.pdf
6,96.0,1.0,Return less interest income on scheme assets,Return less interest income on scheme assets 2072 349,2072,2016.0,£000,./example_data_PDF/00030177.pdf
7,96.0,0.0,Return less interest income on scheme assets,Return less interest income on scheme assets 2072 349,349,2015.0,£000,./example_data_PDF/00030177.pdf
8,96.0,1.0,Contributions by the employer,Contributions by the employer 375 375,375,2016.0,£000,./example_data_PDF/00030177.pdf
9,87.0,0.0,Contributions by the employer,Contributions by the employer 375 375,375,2015.0,£000,./example_data_PDF/00030177.pdf
10,96.0,1.0,Benefits paid,Benefits paid 1308 479,1308,2016.0,£000,./example_data_PDF/00030177.pdf
11,96.0,0.0,Benefits paid,Benefits paid 1308 479,479,2015.0,£000,./example_data_PDF/00030177.pdf
12,20.0,1.0,Changes in the defined benefit obligation,Changes in the defined benefit obligation 000 000,000,2016.0,£000,./example_data_PDF/00030177.pdf
13,71.0,0.0,Changes in the defined benefit obligation,Changes in the defined benefit obligation 000 000,000,2015.0,£000,./example_data_PDF/00030177.pdf
14,95.0,1.0,Defined benefit obligation at start of period,Defined benefit obligation at start of period 20542 20117,20542,2016.0,£000,./example_data_PDF/00030177.pdf
15,96.0,0.0,Defined benefit obligation at start of period,Defined benefit obligation at start of period 20542 20117,20117,2015.0,£000,./example_data_PDF/00030177.pdf
16,96.0,1.0,Interest cost on defined benefit obligation,Interest cost on defined benefit obligation 736 776,736,2016.0,£000,./example_data_PDF/00030177.pdf
17,96.0,0.0,Interest cost on defined benefit obligation,Interest cost on defined benefit obligation 736 776,776,2015.0,£000,./example_data_PDF/00030177.pdf
18,96.0,1.0,Benefits paid,Benefits paid 1308 479,1308,2016.0,£000,./example_data_PDF/00030177.pdf
19,60.0,0.0,Benefits paid,Benefits paid 1308 479,479,2015.0,£000,./example_data_PDF/00030177.pdf
20,96.0,1.0,Actuarial gainloss,Actuarial gainloss 4678 129,4678,2016.0,£000,./example_data_PDF/00030177.pdf
21,95.0,0.0,Actuarial gainloss,Actuarial gainloss 4678 129,129,2015.0,£000,./example_data_PDF/00030177.pdf
22,96.0,1.0,Defined benefit obligation at end of period,Defined benefit obligation at end of period 24648 20542,24648,2016.0,£000,./example_data_PDF/00030177.pdf
23,95.0,0.0,Defined benefit obligation at end of period,Defined benefit obligation at end of period 24648 20542,20542,2015.0,£000,./example_data_PDF/00030177.pdf
24,22.0,1.0,Reconciliation of funded status,Reconciliation of funded status 000 000,000,2016.0,£000,./example_data_PDF/00030177.pdf
25,82.0,0.0,Reconciliation of funded status,Reconciliation of funded status 000 000,000,2015.0,£000,./example_data_PDF/00030177.pdf
26,96.0,1.0,Opening surplusdeficit i,Opening surplusdeficit i 4182 3933,4182,2016.0,£000,./example_data_PDF/00030177.pdf
27,77.0,0.0,Opening surplusdeficit i,Opening surplusdeficit i 4182 3933,3933,2015.0,£000,./example_data_PDF/00030177.pdf
28,95.0,1.0,Employer contributions,Employer contributions 375 375,375,2016.0,£000,./example_data_PDF/00030177.pdf
29,93.0,0.0,Employer contributions,Employer contributions 375 375,375,2015.0,£000,./example_data_PDF/00030177.pdf
30,96.0,1.0,Creditcharge recorded in PL,Creditcharge recorded in PL 148 146,148,2016.0,£000,./example_data_PDF/00030177.pdf
31,96.0,0.0,Creditcharge recorded in PL,Creditcharge recorded in PL 148 146,146,2015.0,£000,./example_data_PDF/00030177.pdf
32,96.0,1.0,Closing surplusdeficit,Closing surplusdeficit 6561 4182,6561,2016.0,£000,./example_data_PDF/00030177.pdf
33,96.0,0.0,Closing surplusdeficit,Closing surplusdeficit 6561 4182,4182,2015.0,£000,./example_data_PDF/00030177.pdf
0,81.0,1.0,Note,Note 000 000,000,2016.0,£’000,./example_data_PDF/5508774.pdf
1,81.0,0.0,Note,Note 000 000,000,2015.0,£’000,./example_data_PDF/5508774.pdf
2,95.0,1.0,Property plant and equipment,Property plant and equipment 11 8737 8495,8737,2016.0,£’000,./example_data_PDF/5508774.pdf
3,96.0,0.0,Property plant and equipment,Property plant and equipment 11 8737 8495,8495,2015.0,£’000,./example_data_PDF/5508774.pdf
4,96.0,1.0,Intangible assets,Intangible assets 12 10725 9440,10725,2016.0,£’000,./example_data_PDF/5508774.pdf
5,96.0,0.0,Intangible assets,Intangible assets 12 10725 9440,9440,2015.0,£’000,./example_data_PDF/5508774.pdf
6,96.0,1.0,Deferred tax assets,Deferred tax assets 10 1256 676,1256,2016.0,£’000,./example_data_PDF/5508774.pdf
7,96.0,0.0,Deferred tax assets,Deferred tax assets 10 1256 676,676,2015.0,£’000,./example_data_PDF/5508774.pdf
8,96.0,1.0,Investments,Investments 13 13481 10377,13481,2016.0,£’000,./example_data_PDF/5508774.pdf
9,96.0,0.0,Investments,Investments 13 13481 10377,10377,2015.0,£’000,./example_data_PDF/5508774.pdf
10,96.0,1.0,Inventories,Inventories 14 9990 7801,9990,2016.0,£’000,./example_data_PDF/5508774.pdf
11,96.0,0.0,Inventories,Inventories 14 9990 7801,7801,2015.0,£’000,./example_data_PDF/5508774.pdf
12,96.0,1.0,Trade and other receivables,Trade and other receivables 15 77364 60641,77364,2016.0,£’000,./example_data_PDF/5508774.pdf
13,96.0,0.0,Trade and other receivables,Trade and other receivables 15 77364 60641,60641,2015.0,£’000,./example_data_PDF/5508774.pdf
14,96.0,1.0,Prepayments,Prepayments 1301 1136,1301,2016.0,£’000,./example_data_PDF/5508774.pdf
15,96.0,0.0,Prepayments,Prepayments 1301 1136,1136,2015.0,£’000,./example_data_PDF/5508774.pdf
16,96.0,1.0,Other current financial assets,Other current financial assets 16 963 434,963,2016.0,£’000,./example_data_PDF/5508774.pdf
17,96.0,0.0,Other current financial assets,Other current financial assets 16 963 434,434,2015.0,£’000,./example_data_PDF/5508774.pdf
18,96.0,1.0,Cash and short term deposits,Cash and short term deposits 27144 16725,27144,2016.0,£’000,./example_data_PDF/5508774.pdf
19,96.0,0.0,Cash and short term deposits,Cash and short term deposits 27144 16725,16725,2015.0,£’000,./example_data_PDF/5508774.pdf
20,96.0,1.0,Total assets,Total assets 150961 115725,150961,2016.0,£’000,./example_data_PDF/5508774.pdf
21,96.0,0.0,Total assets,Total assets 150961 115725,115725,2015.0,£’000,./example_data_PDF/5508774.pdf
22,96.0,1.0,Trade and other payables,Trade and other payables 17 18767 15436,18767,2016.0,£’000,./example_data_PDF/5508774.pdf
23,96.0,0.0,Trade and other payables,Trade and other payables 17 18767 15436,15436,2015.0,£’000,./example_data_PDF/5508774.pdf
24,96.0,1.0,Other current financial liabilities,Other current financial liabilities 18 7,18,2016.0,£’000,./example_data_PDF/5508774.pdf
25,96.0,0.0,Other current financial liabilities,Other current financial liabilities 18 7,7,2015.0,£’000,./example_data_PDF/5508774.pdf
26,96.0,1.0,Income tax payable,Income tax payable 1142 613,1142,2016.0,£’000,./example_data_PDF/5508774.pdf
27,96.0,0.0,Income tax payable,Income tax payable 1142 613,613,2015.0,£’000,./example_data_PDF/5508774.pdf
28,96.0,1.0,Accruals,Accruals 4652 3320,4652,2016.0,£’000,./example_data_PDF/5508774.pdf
29,96.0,0.0,Accruals,Accruals 4652 3320,3320,2015.0,£’000,./example_data_PDF/5508774.pdf
30,95.0,1.0,Deferred tax liability,Deferred tax liability 10 1360 1431,1360,2016.0,£’000,./example_data_PDF/5508774.pdf
31,96.0,0.0,Deferred tax liability,Deferred tax liability 10 1360 1431,1431,2015.0,£’000,./example_data_PDF/5508774.pdf
32,96.0,1.0,Defined benefit pension plan deficit,Defined benefit pension plan deficit 23 7388 3110,7388,2016.0,£’000,./example_data_PDF/5508774.pdf
33,96.0,0.0,Defined benefit pension plan deficit,Defined benefit pension plan deficit 23 7388 3110,3110,2015.0,£’000,./example_data_PDF/5508774.pdf
34,96.0,1.0,Total liabilities,Total liabilities 33309 23917,33309,2016.0,£’000,./example_data_PDF/5508774.pdf
35,95.0,0.0,Total liabilities,Total liabilities 33309 23917,23917,2015.0,£’000,./example_data_PDF/5508774.pdf
36,96.0,1.0,Net assets,Net assets 117652 91808,117652,2016.0,£’000,./example_data_PDF/5508774.pdf
37,96.0,0.0,Net assets,Net assets 117652 91808,91808,2015.0,£’000,./example_data_PDF/5508774.pdf
38,94.0,1.0,Equity share capital,Equity share capital 20 1 1,1,2016.0,£’000,./example_data_PDF/5508774.pdf
39,94.0,0.0,Equity share capital,Equity share capital 20 1 1,1,2015.0,£’000,./example_data_PDF/5508774.pdf
40,96.0,1.0,Share premium account,Share premium account 21 12558 12558,12558,2016.0,£’000,./example_data_PDF/5508774.pdf
41,96.0,0.0,Share premium account,Share premium account 21 12558 12558,12558,2015.0,£’000,./example_data_PDF/5508774.pdf
42,96.0,1.0,Retained earnings,Retained earnings 21 105070 79202,105070,2016.0,£’000,./example_data_PDF/5508774.pdf
43,96.0,0.0,Retained earnings,Retained earnings 21 105070 79202,79202,2015.0,£’000,./example_data_PDF/5508774.pdf
44,96.0,1.0,Foreign currency translation reserve,Foreign currency translation reserve 21 23 47,23,2016.0,£’000,./example_data_PDF/5508774.pdf
45,96.0,0.0,Foreign currency translation reserve,Foreign currency translation reserve 21 23 47,47,2015.0,£’000,./example_data_PDF/5508774.pdf
46,96.0,1.0,Total equity,Total equity 117652 91808,117652,2016.0,£’000,./example_data_PDF/5508774.pdf
47,96.0,0.0,Total equity,Total equity 117652 91808,91808,2015.0,£’000,./example_data_PDF/5508774.pdf
0,93.0,1.0,Note,Note 000  000,000,2015.0,£000,./example_data_PDF/00002404.pdf
1,0.0,0.0,Note,Note 000  000,000,2014.0,£000,./example_data_PDF/00002404.pdf
2,95.0,1.0,Called up share capital,Called up share capital 21 5245 5245,5245,2015.0,£000,./example_data_PDF/00002404.pdf
3,92.0,0.0,Called up share capital,Called up share capital 21 5245 5245,5245,2014.0,£000,./example_data_PDF/00002404.pdf
4,96.0,1.0,Revaluation reserve .,Revaluation reserve . 20 1061 1061,1061,2015.0,£000,./example_data_PDF/00002404.pdf
5,96.0,0.0,Revaluation reserve .,Revaluation reserve . 20 1061 1061,1061,2014.0,£000,./example_data_PDF/00002404.pdf
6,96.0,1.0,Hedging reserve,Hedging reserve 20 677 566,677,2015.0,£000,./example_data_PDF/00002404.pdf
7,96.0,0.0,Hedging reserve,Hedging reserve 20 677 566,566,2014.0,£000,./example_data_PDF/00002404.pdf
8,96.0,1.0,Profit and loss account  .,Profit and loss account 20 . 40951 33117,40951,2015.0,£000,./example_data_PDF/00002404.pdf
9,95.0,0.0,Profit and loss account  .,Profit and loss account 20 . 40951 33117,33117,2014.0,£000,./example_data_PDF/00002404.pdf
0,96.0,1.0,Note,Note 000 000,000,2015.0,£000,./example_data_PDF/00002404.pdf
1,96.0,0.0,Note,Note 000 000,000,2014.0,£000,./example_data_PDF/00002404.pdf
2,96.0,1.0,Intangible assets,Intangible assets 12 180 137,180,2015.0,£000,./example_data_PDF/00002404.pdf
3,96.0,0.0,Intangible assets,Intangible assets 12 180 137,137,2014.0,£000,./example_data_PDF/00002404.pdf
4,96.0,1.0,Tangible assets,Tangible assets 13 28271 28681,28271,2015.0,£000,./example_data_PDF/00002404.pdf
5,96.0,0.0,Tangible assets,Tangible assets 13 28271 28681,28681,2014.0,£000,./example_data_PDF/00002404.pdf
6,96.0,1.0,Stocks,Stocks 15 446 405,446,2015.0,£000,./example_data_PDF/00002404.pdf
7,95.0,0.0,Stocks,Stocks 15 446 405,405,2014.0,£000,./example_data_PDF/00002404.pdf
8,96.0,1.0,Debtors amounts falling due within one year,Debtors amounts falling due within one year 16 23174 11926,23174,2015.0,£000,./example_data_PDF/00002404.pdf
9,96.0,0.0,Debtors amounts falling due within one year,Debtors amounts falling due within one year 16 23174 11926,11926,2014.0,£000,./example_data_PDF/00002404.pdf
10,95.0,1.0,Cash at bank and in hand,Cash at bank and in hand 10208 10565,10208,2015.0,£000,./example_data_PDF/00002404.pdf
11,96.0,0.0,Cash at bank and in hand,Cash at bank and in hand 10208 10565,10565,2014.0,£000,./example_data_PDF/00002404.pdf
12,95.0,1.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 17 10936 7527,10936,2015.0,£000,./example_data_PDF/00002404.pdf
13,96.0,0.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 17 10936 7527,7527,2014.0,£000,./example_data_PDF/00002404.pdf
14,96.0,1.0,Net current assets,Net current assets 22892 15369,22892,2015.0,£000,./example_data_PDF/00002404.pdf
15,95.0,0.0,Net current assets,Net current assets 22892 15369,15369,2014.0,£000,./example_data_PDF/00002404.pdf
16,90.0,1.0,Total assets less current liabilities,Total assets less current liabilities 51346 44190,51346,2015.0,£000,./example_data_PDF/00002404.pdf
17,95.0,0.0,Total assets less current liabilities,Total assets less current liabilities 51346 44190,44190,2014.0,£000,./example_data_PDF/00002404.pdf
18,96.0,1.0,Creditors amounts falling due after more than one year,than one year 18 2620 3071,2620,2015.0,£000,./example_data_PDF/00002404.pdf
19,96.0,0.0,Creditors amounts falling due after more than one year,than one year 18 2620 3071,3071,2014.0,£000,./example_data_PDF/00002404.pdf
20,96.0,1.0,Pensions,Pensions 18 18,18,2015.0,£000,./example_data_PDF/00002404.pdf
21,96.0,0.0,Pensions,Pensions 18 18,18,2014.0,£000,./example_data_PDF/00002404.pdf
22,96.0,1.0,Pension liability,Pension liability 23 2128 2244,2128,2015.0,£000,./example_data_PDF/00002404.pdf
23,96.0,0.0,Pension liability,Pension liability 23 2128 2244,2244,2014.0,£000,./example_data_PDF/00002404.pdf
24,96.0,1.0,Net assets,Net assets 46580 38857,46580,2015.0,£000,./example_data_PDF/00002404.pdf
25,96.0,0.0,Net assets,Net assets 46580 38857,38857,2014.0,£000,./example_data_PDF/00002404.pdf
0,96.0,1.0,Note,Note 000 000,000,2016.0,£000,./example_data_PDF/01370175.pdf
1,96.0,0.0,Note,Note 000 000,000,2015.0,£000,./example_data_PDF/01370175.pdf
2,95.0,1.0,Tangible assets,Tangible assets 14 2373 2240,2373,2016.0,£000,./example_data_PDF/01370175.pdf
3,96.0,0.0,Tangible assets,Tangible assets 14 2373 2240,2240,2015.0,£000,./example_data_PDF/01370175.pdf
4,96.0,1.0,Stocks,Stocks 15 1830 1629,1830,2016.0,£000,./example_data_PDF/01370175.pdf
5,96.0,0.0,Stocks,Stocks 15 1830 1629,1629,2015.0,£000,./example_data_PDF/01370175.pdf
6,95.0,1.0,Debtors,Debtors 16 5900 5273,5900,2016.0,£000,./example_data_PDF/01370175.pdf
7,20.0,0.0,Debtors,Debtors 16 5900 5273,5273,2015.0,£000,./example_data_PDF/01370175.pdf
8,90.0,1.0,Creditors amounts falling due within one year,year 18 7670 7378,7670,2016.0,£000,./example_data_PDF/01370175.pdf
9,96.0,0.0,Creditors amounts falling due within one year,year 18 7670 7378,7378,2015.0,£000,./example_data_PDF/01370175.pdf
10,96.0,1.0,Net current assetsliabilities,Net current assetsliabilities 63 473,63,2016.0,£000,./example_data_PDF/01370175.pdf
11,96.0,0.0,Net current assetsliabilities,Net current assetsliabilities 63 473,473,2015.0,£000,./example_data_PDF/01370175.pdf
12,96.0,1.0,Total assets less current liabilities,Total assets less current liabilities 2436 1767,2436,2016.0,£000,./example_data_PDF/01370175.pdf
13,94.0,0.0,Total assets less current liabilities,Total assets less current liabilities 2436 1767,1767,2015.0,£000,./example_data_PDF/01370175.pdf
14,96.0,1.0,Creditors amounts falling due after more than one year,than one year 19 374 294,374,2016.0,£000,./example_data_PDF/01370175.pdf
15,96.0,0.0,Creditors amounts falling due after more than one year,than one year 19 374 294,294,2015.0,£000,./example_data_PDF/01370175.pdf
16,91.0,1.0,Deferred tax,Deferred tax 22 89 240,89,2016.0,£000,./example_data_PDF/01370175.pdf
17,96.0,0.0,Deferred tax,Deferred tax 22 89 240,240,2015.0,£000,./example_data_PDF/01370175.pdf
18,96.0,1.0,Net assets,Net assets 1973 1233,1973,2016.0,£000,./example_data_PDF/01370175.pdf
19,96.0,0.0,Net assets,Net assets 1973 1233,1233,2015.0,£000,./example_data_PDF/01370175.pdf
20,96.0,1.0,Called up share capital,Called up share capital 23 10 10,10,2016.0,£000,./example_data_PDF/01370175.pdf
21,96.0,0.0,Called up share capital,Called up share capital 23 10 10,10,2015.0,£000,./example_data_PDF/01370175.pdf
22,96.0,1.0,Profit and loss account,Profit and loss account 1963 1223,1963,2016.0,£000,./example_data_PDF/01370175.pdf
23,96.0,0.0,Profit and loss account,Profit and loss account 1963 1223,1223,2015.0,£000,./example_data_PDF/01370175.pdf
24,95.0,1.0,Total shareholders funds,Total shareholders funds 1973 1233,1973,2016.0,£000,./example_data_PDF/01370175.pdf
25,96.0,0.0,Total shareholders funds,Total shareholders funds 1973 1233,1233,2015.0,£000,./example_data_PDF/01370175.pdf
0,95.0,1.0,Tangible assets ti,Tangible assets ti 2032754 2124899,2032754,2016.0,£,./example_data_PDF/00782931.pdf
1,93.0,0.0,Tangible assets ti,Tangible assets ti 2032754 2124899,2124899,2015.0,£,./example_data_PDF/00782931.pdf
2,96.0,1.0,Investments,Investments 12 30103 30103,30103,2016.0,£,./example_data_PDF/00782931.pdf
3,96.0,0.0,Investments,Investments 12 30103 30103,30103,2015.0,£,./example_data_PDF/00782931.pdf
4,96.0,1.0,Stocks,Stocks 13 1476632 654597,1476632,2016.0,£,./example_data_PDF/00782931.pdf
5,96.0,0.0,Stocks,Stocks 13 1476632 654597,654597,2015.0,£,./example_data_PDF/00782931.pdf
6,95.0,1.0,Debtors,Debtors 14 32395166 29659735,32395166,2016.0,£,./example_data_PDF/00782931.pdf
7,92.0,0.0,Debtors,Debtors 14 32395166 29659735,29659735,2015.0,£,./example_data_PDF/00782931.pdf
8,96.0,1.0,Cash at bank and in hand,Cash at bank and in hand 15 2064 2174662,2064,2016.0,£,./example_data_PDF/00782931.pdf
9,88.0,0.0,Cash at bank and in hand,Cash at bank and in hand 15 2064 2174662,2174662,2015.0,£,./example_data_PDF/00782931.pdf
10,95.0,1.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 16 26088204 24826278,26088204,2016.0,£,./example_data_PDF/00782931.pdf
11,96.0,0.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 16 26088204 24826278,24826278,2015.0,£,./example_data_PDF/00782931.pdf
12,92.0,1.0,Net current assets,Net current assets  7785658 7662716,7785658,2016.0,£,./example_data_PDF/00782931.pdf
13,96.0,0.0,Net current assets,Net current assets  7785658 7662716,7662716,2015.0,£,./example_data_PDF/00782931.pdf
14,95.0,1.0,Total assets less current liabilities,Total assets less current liabilities 9848515 9817718,9848515,2016.0,£,./example_data_PDF/00782931.pdf
15,96.0,0.0,Total assets less current liabilities,Total assets less current liabilities 9848515 9817718,9817718,2015.0,£,./example_data_PDF/00782931.pdf
16,68.0,1.0,Creditors amounts falling due after more than one  year,year 17 1450000 1659065,1450000,2016.0,£,./example_data_PDF/00782931.pdf
17,79.0,0.0,Creditors amounts falling due after more than one  year,year 17 1450000 1659065,1659065,2015.0,£,./example_data_PDF/00782931.pdf
18,94.0,1.0,Net assets,Net assets 8398515 8158653,8398515,2016.0,£,./example_data_PDF/00782931.pdf
19,95.0,0.0,Net assets,Net assets 8398515 8158653,8158653,2015.0,£,./example_data_PDF/00782931.pdf
20,96.0,1.0,Called up share capital,Called up share capital 20 50000 50000,50000,2016.0,£,./example_data_PDF/00782931.pdf
21,95.0,0.0,Called up share capital,Called up share capital 20 50000 50000,50000,2015.0,£,./example_data_PDF/00782931.pdf
22,93.0,1.0,Profit and loss account,Profit and loss account 21 8348515 8108653,8348515,2016.0,£,./example_data_PDF/00782931.pdf
23,93.0,0.0,Profit and loss account,Profit and loss account 21 8348515 8108653,8108653,2015.0,£,./example_data_PDF/00782931.pdf
